idx_from,state_from,onset_from_s,idx_to,state_to,onset_to_s,transition_time_s,transition_id,state_from_freq,subject,block
0,6,6.900625,1,7,8.73,1.8293750000000006,67,h,BE13RE,B1
1,7,8.73,2,8,11.046875,2.3168749999999996,78,h,BE13RE,B1
2,8,11.046875,3,9,12.67,1.623125,89,h,BE13RE,B1
3,9,12.67,4,1,15.060625,2.390625,91,h,BE13RE,B1
4,1,15.060625,5,2,17.466875,2.4062500000000018,12,h,BE13RE,B1
5,2,17.466875,6,3,20.09875,2.6318749999999973,23,h,BE13RE,B1
6,3,20.09875,7,4,22.46875,2.370000000000001,34,h,BE13RE,B1
7,4,22.46875,8,5,24.28875,1.8200000000000003,45,h,BE13RE,B1
8,5,24.28875,9,6,27.6725,3.383749999999999,56,h,BE13RE,B1
9,6,27.6725,10,7,29.965625,2.293125,67,h,BE13RE,B1
10,7,29.965625,11,9,32.410625,2.445000000000004,79,s,BE13RE,B1
11,9,32.410625,12,1,35.08875,2.6781249999999943,91,h,BE13RE,B1
12,1,35.08875,13,2,37.34875,2.260000000000005,12,h,BE13RE,B1
13,2,37.34875,14,3,39.73875,2.3900000000000006,23,h,BE13RE,B1
14,3,39.73875,15,4,42.29875,2.559999999999995,34,h,BE13RE,B1
15,4,42.29875,16,5,44.205,1.90625,45,h,BE13RE,B1
16,5,44.205,17,6,46.355000000000004,2.1500000000000057,56,h,BE13RE,B1
17,6,46.355000000000004,18,5,48.406875,2.0518749999999955,65,s,BE13RE,B1
18,5,48.406875,19,6,50.3325,1.9256250000000037,56,h,BE13RE,B1
19,6,50.3325,20,7,53.326875,2.994374999999998,67,h,BE13RE,B1
20,7,53.326875,21,8,56.02375,2.6968749999999986,78,h,BE13RE,B1
21,8,56.02375,22,9,57.9925,1.96875,89,h,BE13RE,B1
22,9,57.9925,23,1,61.690625000000004,3.6981250000000045,91,h,BE13RE,B1
23,1,61.690625000000004,24,2,64.310625,2.6199999999999974,12,h,BE13RE,B1
24,2,64.310625,25,4,66.15875,1.848124999999996,24,s,BE13RE,B1
25,4,66.15875,26,5,67.745,1.5862500000000068,45,h,BE13RE,B1
26,5,67.745,27,6,69.941875,2.1968749999999915,56,h,BE13RE,B1
27,6,69.941875,28,7,71.6375,1.6956250000000068,67,h,BE13RE,B1
28,7,71.6375,29,8,73.805625,2.1681250000000034,78,h,BE13RE,B1
29,8,73.805625,30,9,75.4925,1.6868750000000006,89,h,BE13RE,B1
30,9,75.4925,31,1,80.016875,4.524374999999992,91,h,BE13RE,B1
31,1,80.016875,32,3,82.446875,2.430000000000007,13,s,BE13RE,B1
32,3,82.446875,33,4,84.315,1.868124999999992,34,h,BE13RE,B1
33,4,84.315,34,5,85.9975,1.6825000000000045,45,h,BE13RE,B1
34,5,85.9975,35,6,87.831875,1.8343749999999943,56,h,BE13RE,B1
35,6,87.831875,36,7,89.60000000000001,1.768125000000012,67,h,BE13RE,B1
36,7,89.60000000000001,37,8,91.995,2.394999999999996,78,h,BE13RE,B1
37,8,91.995,38,9,93.701875,1.7068749999999966,89,h,BE13RE,B1
38,9,93.701875,39,8,96.086875,2.385000000000005,98,s,BE13RE,B1
39,8,96.086875,40,9,97.86375,1.7768749999999898,89,h,BE13RE,B1
40,9,97.86375,41,1,100.000625,2.1368750000000034,91,h,BE13RE,B1
41,1,100.000625,42,2,102.1525,2.151875000000004,12,h,BE13RE,B1
42,2,102.1525,43,3,104.8,2.6474999999999937,23,h,BE13RE,B1
43,3,104.8,44,4,106.79375,1.9937500000000057,34,h,BE13RE,B1
44,4,106.79375,45,5,108.5825,1.7887499999999932,45,h,BE13RE,B1
45,5,108.5825,46,7,110.665,2.0825000000000102,57,s,BE13RE,B1
48,9,115.545625,49,1,117.9375,2.391874999999999,91,h,BE13RE,B1
49,1,117.9375,50,2,119.706875,1.7693749999999966,12,h,BE13RE,B1
50,2,119.706875,51,3,124.0875,4.380625000000009,23,h,BE13RE,B1
51,3,124.0875,52,4,125.78875000000001,1.7012500000000017,34,h,BE13RE,B1
52,4,125.78875000000001,53,6,127.751875,1.963124999999991,46,s,BE13RE,B1
53,6,127.751875,54,7,129.636875,1.8850000000000051,67,h,BE13RE,B1
54,7,129.636875,55,8,131.600625,1.9637500000000045,78,h,BE13RE,B1
55,8,131.600625,56,9,133.225,1.6243749999999864,89,h,BE13RE,B1
56,9,133.225,57,1,135.156875,1.9318750000000193,91,h,BE13RE,B1
57,1,135.156875,58,2,136.92000000000002,1.7631250000000023,12,h,BE13RE,B1
58,2,136.92000000000002,59,3,139.210625,2.2906249999999773,23,h,BE13RE,B1
59,3,139.210625,60,2,143.985,4.7743750000000205,32,s,BE13RE,B1
60,2,143.985,61,3,146.2475,2.2624999999999886,23,h,BE13RE,B1
61,3,146.2475,62,4,147.9375,1.6899999999999977,34,h,BE13RE,B1
62,4,147.9375,63,5,149.59,1.6525000000000034,45,h,BE13RE,B1
63,5,149.59,64,6,151.3375,1.7475000000000023,56,h,BE13RE,B1
64,6,151.3375,65,7,153.53,2.1924999999999955,67,h,BE13RE,B1
65,7,153.53,66,8,155.706875,2.1768749999999955,78,h,BE13RE,B1
66,8,155.706875,67,1,157.616875,1.9099999999999966,81,s,BE13RE,B1
67,1,157.616875,68,2,159.786875,2.170000000000016,12,h,BE13RE,B1
68,2,159.786875,69,3,162.735625,2.9487499999999898,23,h,BE13RE,B1
69,3,162.735625,70,4,164.431875,1.696249999999992,34,h,BE13RE,B1
70,4,164.431875,71,5,166.06,1.6281250000000114,45,h,BE13RE,B1
71,5,166.06,72,6,168.08875,2.0287500000000023,56,h,BE13RE,B1
0,6,6.702500000000001,1,7,8.420625,1.7181249999999988,67,h,BE13RE,B2
1,7,8.420625,2,8,10.33375,1.9131250000000009,78,h,BE13RE,B2
2,8,10.33375,3,9,12.86,2.526249999999999,89,h,BE13RE,B2
3,9,12.86,4,1,14.5375,1.6775000000000002,91,h,BE13RE,B2
4,1,14.5375,5,2,16.61875,2.081249999999999,12,h,BE13RE,B2
5,2,16.61875,6,3,20.4725,3.8537500000000016,23,h,BE13RE,B2
6,3,20.4725,7,4,23.645625,3.173124999999999,34,h,BE13RE,B2
7,4,23.645625,8,5,25.653750000000002,2.0081250000000033,45,h,BE13RE,B2
8,5,25.653750000000002,9,6,27.871875,2.218124999999997,56,h,BE13RE,B2
9,6,27.871875,10,7,29.575,1.703125,67,h,BE13RE,B2
10,7,29.575,11,9,31.278750000000002,1.703750000000003,79,s,BE13RE,B2
11,9,31.278750000000002,12,1,33.485625,2.2068749999999966,91,h,BE13RE,B2
12,1,33.485625,13,2,35.745,2.2593749999999986,12,h,BE13RE,B2
13,2,35.745,14,3,38.705,2.960000000000001,23,h,BE13RE,B2
14,3,38.705,15,4,40.341875,1.6368750000000034,34,h,BE13RE,B2
15,4,40.341875,16,5,41.775625,1.4337499999999963,45,h,BE13RE,B2
16,5,41.775625,17,6,43.365625,1.5900000000000034,56,h,BE13RE,B2
17,6,43.365625,18,5,44.810625,1.4450000000000003,65,s,BE13RE,B2
18,5,44.810625,19,6,46.21375,1.4031249999999957,56,h,BE13RE,B2
19,6,46.21375,20,7,48.561875,2.348125000000003,67,h,BE13RE,B2
20,7,48.561875,21,8,50.615625,2.053750000000001,78,h,BE13RE,B2
21,8,50.615625,22,9,52.1575,1.5418749999999974,89,h,BE13RE,B2
22,9,52.1575,23,1,54.3225,2.164999999999999,91,h,BE13RE,B2
